Station,Year,Annual_mean_max_C,Annual_total_mm,Months_present,Scenario
Sir Seretse Khama Airport,1993/94,28.3,488.7,12,Historical
Sir Seretse Khama Airport,1994/95,28.6,366.7,12,Historical
Sir Seretse Khama Airport,1995/96,27.9,636.8,12,Historical
Sir Seretse Khama Airport,1996/97,27.6,731.1,12,Historical
Sir Seretse Khama Airport,1997/98,29.2,454.7,12,Historical
Sir Seretse Khama Airport,1998/99,28.8,303.9,12,Historical
Sir Seretse Khama Airport,1999/00,26.8,853.1,12,Historical
Sir Seretse Khama Airport,2000/01,27.8,567.0,12,Historical
Sir Seretse Khama Airport,2001/02,27.8,639.6,12,Historical
Sir Seretse Khama Airport,2002/03,29.3,361.4,12,Historical
Sir Seretse Khama Airport,2003/04,28.1,475.6,12,Historical
Sir Seretse Khama Airport,2004/05,29.1,357.3,12,Historical
Sir Seretse Khama Airport,2005/06,28.2,660.4,12,Historical
Sir Seretse Khama Airport,2006/07,29.1,209.8,12,Historical
Sir Seretse Khama Airport,2007/08,27.4,810.4,12,Historical
Sir Seretse Khama Airport,2008/09,28.1,600.1,12,Historical
Sir Seretse Khama Airport,2009/10,27.1,539.4,12,Historical
Sir Seretse Khama Airport,2010/11,27.8,300.9,12,Historical
Sir Seretse Khama Airport,2011/12,28.7,262.0,12,Historical
Sir Seretse Khama Airport,2012/13,28.6,301.5,12,Historical
Sir Seretse Khama Airport,2013/14,28.2,336.8,12,Historical
Sir Seretse Khama Airport,2014/15,29.1,180.3,12,Historical
Sir Seretse Khama Airport,2015/16,29.9,414.7,12,Historical
Sir Seretse Khama Airport,2016/17,28.2,488.3,12,Historical
Sir Seretse Khama Airport,2017/18,29.1,544.5,12,Historical
Sir Seretse Khama Airport,2018/19,29.9,284.0,12,Historical
Sir Seretse Khama Airport,2019/20,29.8,338.7,12,Historical
Sir Seretse Khama Airport,2020/21,28.1,284.1,12,Historical
Sir Seretse Khama Airport,2021/22,28.0,509.4,12,Historical
Sir Seretse Khama Airport,2022/23,28.6,540.7,12,Historical
Sir Seretse Khama Airport,2023/24,29.8,267.9,12,Historical
,,,,,
